reviewText,deceptive
"I originally ordered screen protectors in December from another company, and after 2 months I hadstill not received them, I ended up ordering from this company. They came within 2 days and fit perfectly!!! Thanks so much, you have A+ service!!",0
"I used this item for little over a month and the leather stretched to the point where it did hold my iPhone in securely. Eventually, my iPhone fell out of the case and the glass casing on both sides shattered. When I tried to return the item to Amazon, I was three days past my return window. Not only am I stuck with a junky $60 case, but also a bill to repair my iPhone., DO NOT PURCHASE this item. It is of very low quality!",0
I wanted something to protect my phone from bouncing around inside my backpack. This case is really nice and came with two screen protectors and a microfiber cloth. Very good investment.,0
"I had a local stereo shop install this item.
Seems to work like a charm.
Don't buy a line-out converter...they suck...buy this instead...this is actually a Digital Signal Processor that separates the lows & highs for you.  It also sums any factory lows & highs to make sure the correct frequency goes to the correct place.
I would consult someone who knows what amp & speakers to pair with this set-up.",0
"I've went through a few cases from Case Crown, Elago and now Incase.

The case looks great but I do agree, in some lighting conditions, the top part does look purplish but not that much.

I love the soft feeling top and the glossy bottom. It gives the phone a great look.

If you have a screen protector on it, there's going to be a 95% chance the slider is going to cause it to bubble. I think that's why Incase charges $20 for their custom fit screen protectors which fits the screen area with the case on.

For $7 and some change, you can't go wrong with this case.

Another thing, no flash problems when using the camera with the case on.",0
"The Delta Smartphone Caddy II is very close to the ideal bicycle mounting for smartphones and larger format mp3 players.  I use it with my Zune and my Samsung Galaxy S Captivate phone.  They are on the right track for how to hold these things down, but they sorta failed in the final implementation.  Much to the credit of the designers, the basic concept is sort of a cage that closes on the device.  The only problem is that the closing mechanism is basically a rubber band. This approach is cheap, but dumb.  The force a rubber band applies is a function of how much it is distorted.  So something smaller gets less force and bounces the heck right out of the mount like my Zune did three times on medium bumps.  Fortunately it survived, but now I only use the thing with a supplemental Velcro strap to hold my device in.  If they had only used a ratchet/release mechanism like on handcuffs, this would be the bomb.  Everything else about it is great.  It's light, sleek, and functionally correct.  The cage which closes on the device does have a slightly too large lip on the phone face side, so that the bottom buttons on my captivate are barely accessible, but with a very directed finger press I can get the home row buttons to work.  With just a little more thought and effort this could be the best device holder I have found yet.  It's only the second one I have purchased and tried, but I have studied at least two dozen.  Also the price is very unpretentious. Try it out but get a Velcro strap just in case.",0
I like not having wires running directly to the phone and the phone in an upright position. The usb connection on this docking station is a little difficult to position with the phone at first. The station comes with an insert for an S3 without a cover or without the insert for the S3 with a cover. Fits perfect.,0
My original Motorola Q phone wouldn't hold a charge for more than 2 hrs. I found this and it works like a champ. Been using the battery for a few months now and it holds a charge for 2 days (unless you're surfing the net a lot). Very happy with the price and performance.,0
"These batteries are probably great for what they are.

But in applications where 3 LR927 or 3 AG7 batteries are put into a stack, these 395/399 (SR27W/SR927SW) cells are too thin for a proper fit.  What I end up doing is putting a small washer behind the cells to make up for the fact they are too thin to make the connection.

In applications where a single cell is called for, and there is a spring contact, these will probably be fine.  However if you are stacking them, they may be too thin to work without adding a shim.  Use the shim on the positive side to avoid causing a short.

The batteries I received say ""made in USA"", but the text on the back is in Spanish and I think Portuguese.  They also seem to be missing the ""sell by"" date I usually see on batteries, probably because they were not meant for the American market.",0
"This phone works just as described. Super fast 4G but the only negative is that it does not accept my 32GB storage card but I have my 2GB card from my old phone working. It also has not been able to connect to the computer. Other than these two, it is a great phone with super fast internet. It works well with Simple Mobile as well as T-Moblie. I recommend this phone.",0
"this is exactly what the droid pro needs.  the screen protector starts at the bottom of the screen covering the screen buttons (menu, home, return search) and continues all the way to the ear piece. the cut out matches the ear piece so it becomes completely one with the shape of the phone.

Dont buy the Verizon droid pro screen protector, its a piece of junk. it covers only the inner screen and non of the black area around it making it look cheap.  this is a much better choice.  it comes with 2 protectors, a wipe and also a plastic attacher used to push out any air bubbles.

Great buy!",0
There is nothing bad to say about this phone. The delivery arrived before it was due. The phone was in new condition just as it said in the ad.,0
