overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,helpful
5.0,True,2011-05-25,A2YZIPWA3TSNA4,B004BBFPBS,{'Color:': ' Car Holder'},kapdoubleE,"Can't say enough positive things about this item.  I have had it in my truck for months and months... use it everytime I get in... have it mounted low on the dash - almost underneath to the left of the radio/AC controls right next to steering wheel.  the perfect location to plug into my stereo with the headphone jack line out.  It fits and adjusts in a variety of configurations... it holds TIGHT once you get the hang of installing it... I have had it for many months and smack it accidently at times and it has only come loose one time and was back on in seconds... I use it for navigation, playing music, even making/taking calls handsfree through my radio connection... it looks great (some of the others I have seen out there are gaudy and conspicuous... but this one looks as good as it performs... a GRADE A - TOP NOTCH ACCESSORY FOR ANY LARGE SMART PHONE.  I use it with my Samsung Galaxy S Epic... GET ONE!!",SUPER SUPER AWESOME,1306281600,2.0,,
4.0,True,2012-10-22,A2LEO7WT1VIMKZ,B002QHBAH2,"{'Size:': ' Argyle', 'Color:': ' Clear'}",jmonty,"Even with shipping that's more than the cost of the case my total cost was about $5, so it's hard to complain about this case based on price. I got the clear one but wish it was completely clear -- with no diamond shapes on it. It would be great if they had one option that purely let the beauty of the device shine through.

The case fits well and the ports are all accessible. The plastic around the headphone jack is rather close to that port, so I do wonder if some headphones might not fit correctly. However for the two headphones that I use I found no issue there. The lightning connector fit with no problem and buttons like volume up/down are easily pressed through the plastic.

There might be an issue if you want to use the wrist strap -- I don't use it so I don't know for certain how that would affect things. However the wrist strap ""button"" is accessible so it might not be a problem.

The case is flexible and somewhat rubbery. It has a nice tactile feel and definitely fixes the problem of feeling like you're going to let the iPod Touch slip out of your hands with there's no case on it.

Overall a nice case that should protect the iPod Touch 5 rather well.",Great case for the price,1350864000,14.0,['https://images-na.ssl-images-amazon.com/images/I/41FVijtp9RL._SY88.jpg'],
4.0,True,2012-09-03,A1A8Z5YQ24WBFW,B00756KYD0,,sami,The phone case fits the phone perfect. My son uses the stand a lot. He has dropped his phone a few times and the case protects the phone. We are both happy with the product. The seller was great also.,Product is what I expected.,1346630400,5.0,,
2.0,True,2011-12-13,A2ME89MSWVG9NF,B005U5L5OK,,Amazon Customer,"When I tried out the Parrot I thought it was great and I finally found a bluetooth device for my car that worked! The sound quality was excellent, voice commands worked great, and it was a slim profile. However, after one day I would get in my car and it would not connect to my phone. It would keep say it was downloading my contacts and I could not get it to stop. It was downloading nothing. The phone wasn't even connected and the contacts were already downloaded. Resetting the device was no help. Sent it back and looking for another bluetooth device for my car.",Stop working properly after one day,1323734400,2.0,,
5.0,True,2012-09-05,A1SZSNPW4JNJEN,B0089I25YO,,Sling,"I have owned a lot of cases for my myriad phones and MP3 players, and this one is one of the best ones I have had - especially for the price. I have dropped my phone numerous times on hard tile and it is none the worse for ware. It is also very thin for a case with a kickstand and the buttons work equally as well as the unprotected phone. The kickstand is a little flimsy, but it doesn't break when to much pressure is exerted on it. Rather, it simply over rotates and can be easily put back in place. Also, the case is easy to remove to change the battery.

I purchased the gel/plastic case with a kickstand as well and I hated it. It makes your phone three times as thick and is a nightmare to remove. It is now being recycled someplace because I threw it away.

The ultimate endorsement I can give this case is that I am purchasing one for my dad and another one for myself.",Terrific case,1346803200,7.0,,
4.0,True,2012-10-06,AOEH3OMQ5UIS5,B0077197N6,,Ailis,"I decided to wait a few weeks after receiving this item before I made my review based on the negative feedback that was left by previous people.  So here's my review:

I own a HTC Thunderbolt and have gone through 4 cases/clips since I first got my phone over a year ago.  In my profession, I wear a duty belt and having my phone on my side is an absolute necessity!  My job requires me to move around quite a bit, bending and flexing so on and so forth.  With all of the other cases/clips I've had, they've all broken in some capacity within a week (one was even the next day) after getting them.

Way back in the day when Nextel was the big thing, (I got suckered into their horrid service) I purchased a Rugged Brand case for my Nextel and had nothing but positive things to say about it.  So I've had experience with the brand and kinda knew what I was getting into when I purchased this case for my Thunderbolt.

When I first got the case for my thunderbolt, I experimented with using a silicone cover over my phone and putting my phone in the Rugged case.  The cover itself wasn't anything special, it was just a form fitting covering that covered the back and the sides of the phone.  When I put the phone with the silicone cover into the Rugged case, it was a bit snug but nothing that wasn't too much of a problem in removing the phone from the case to use.  I have decided that having the silicone cover on the phone and putting it in the Rugged case was a bit cumbersome so I have since removed the silicone case and have been putting my ""naked"" phone into the case.  With the ""naked"" phone in the case, it allows enough room for you to slide your fingers on either side of the phone (face and rear case) to be able to take the phone out of the case.

The magnet closure of the case does what it is supposed to.  To me, it feels strong enough to stay closed like it should and still allow for quick and easy access to get to my phone when needed.  The interior of the case itself is nice; it's soft, almost like a suede (but I know it's not).  There hasn't been any kind of ""residue"" left on my phone as some of the other reviewers have said was left on their phones.

The clip on the back of the case and the belt clip is the part that I have a love/hate relationship with.  The good part about it is that it's metal and I don't have to worry about some crummy plastic clip breaking on me at any given random moment causing my phone to fall to the floor, risking damage.  It's solid and its sturdy and that's what I've come to expect from the brand from past experience.  Now what I consider as the ""bad"" or the hate part of the relationship with this case/clip is that they have changed the design since I had their case when I had my Nextel.  When I had my Nextel, all you had to do to get the phone off of your belt was turn the case 90 degrees and pull up.  The metal part on the back of the case itself is totally different too.  The way I remember it was that it was in the shape of the letter ""D"" whereas now, it's completely circular.  Now, since it is circular, there is a metal tab on the belt clip portion that you have to push to release the phone from your belt.

Since my phone is a smartphone and a ""bar"" phone, they don't make cases specifically for my phone.  This case is a ""universal"" case therefore I don't have to remove the case from my belt every time I need to use it.  Now if the case was specially made for my phone, such as how the cases are for Nextel phones, I can see where this would be a hinderance.  It would be nice if they were like how they used to be, but its not that huge of a deal in my case.

Overall, I would rate the phone a 9 out of 10 simply because of the clip not being the way it used to be (as described above).  The case fits, it's functional and I don't have to worry about it breaking on me.  PLUS it's not as bulky as an Otterbox.",Durable and so far reliable,1349481600,2.0,,
4.0,True,2012-02-20,A26RZ75ZQD2DNW,B006GQOW6K,,jpap967,"These screen protectors don't really compare to the $15-$20 ones, but they are very reasonably priced. They go on easy enough and come in a package of two. Seem durable enough to last a good while. Nicely cut as well. Would buy them again.","Decently priced, good cheaper product",1329696000,4.0,,
3.0,True,2012-12-07,ANEJTAWCSEVMY,B00M20ZBGE,,William D. Burley Jr.,"The Pong Soft Touch Case fits my iPhone 4S well but I am not sure about any signal increase or ""Radiation-directing"" (since I don't own a geiger counter) abilities.",I like the custom fit but I am not sure about the reported benefits,1354838400,3.0,,
5.0,True,2012-06-08,A9BP0RWO4R217,B0085GVLWC,"{'Color:': ' Black', 'Package Type:': ' Standard Packaging'}",Prentice J Rodgers,"This is the first gel case I've ever used for a phone, and I'm really liking it. I received a free gel case from Sprint for the EVO 4G LTE because of a delay at customs, but it was a hideous bright blue color, and not appropriate for business use. I purchased this black gel case and it is head and shoulders above the stock case that Sprint provided. What I like best is that the phone sits on my car dashboard and doesn't slide around the car, as long as I set it on a flat hard surface. I no longer need an ugly car mount for the phone, I just set it down and go. The gel case really grips the surface of the dash,",Great case - terrific price,1339113600,11.0,,
5.0,True,2012-12-27,A2XCESUWB79AUI,B0083XKL4Q,{'Color:': ' White'},TW,"The hard part of the case came a little bent, so I sent an email and the company said they didn't ship it that way and were sorry so would be sending another hard case at no cost. I am extremely impressed with this. My wife loves the way it looks and the durability for the gs2 as there are not many inexpensive cases that are actually good, but this one takes the cake and a little ice cream too.",This is the one,1356566400,13.0,,
4.0,True,2011-12-26,A2IYOX0G607ZKS,B004ECRMH4,,Ab Hat,"The PV300G is a pretty good phone, with a few minor flaws. First of all, the ""sidekick"" feature on the phone is great, and texting is very convenient and fast. This phone may be a different experience for some,however. It's not a touchscreen, and you have to use the little gray ball on the side of the phone to click things instead of your fingers. It would be a little faster if you could use your fingers, but for me, using the trackball wasn't too much of a problem. The main feature of this phone is texting, and the main menu has 2 menus for it. It's user friendly, except you can sometimes forget how to access the settings menu, which is the upper left button. All the basic settings are easy to operate and change, like the trackball speed, and sound profiles.

The only few cons in the phone is that you can't set a song as your ringtone. My ringtone on my previous phone was always ""Day Tripper"" by the Beatles. Here, it was hard to find out how to change the ringtone in the first place, unless you go through all the settings. Then, once you get to the ringtone menu in sound profiles, you have to choose from one of the weird ringtones that the phone has provided for you. I can't say that they're the best, and some of them are pretty bad. If you want a good ringtone, choose ""fatcat"".

The second con I have is the games and the internet connectivity. The default game that was stored on this phone for me was ""Bob's World, LAKE OF DOOM!!"". It's a pretty corny platformer game, with this ball just bouncing around the screen. I couldn't figure out the controls. I had ""Opera mini"" browser on this phone, and I couldn't connect to the internet very well. Also, you can't check your email.

In general, this is a pretty good phone. Best for people who love texting To sum it up:
Pros
good user friendliness
awesome texting features
organized/easy to operate settings

Cons
Bad choice of games
Bad ringtone selection
Can't check your e-mail,not so good internet connectivity
A few settings that you can't find without extra experimentation.

Hope you liked this review!","Pretty awesome phone, with a few minor flaws",1324857600,2.0,,
2.0,True,2010-05-23,A1M5SXNREM6HT7,B000X2FRHG,,Patt,"The quality is wonderful, however....the holder is so narrow that you cannot put a pair of glasses in them.  My husband squeezed the width of the holder to make it expand. He was able to accomplish the task enough so that our 7 year old granddaughters glasses were able to go in.  I must say that it is still a tight fit.",Tapestry Eyeglass Holder,1274572800,10.0,,
